profile,profile_id,original,raw_normalized,research_area_normalized,matched_candidate_terms,matched_sources,matched_cuis,has_umls_match,final_output,final_output_simplified,final_output_simplified_cleaned,source_weight,tag_weight,research_tag_publishable
Mashiat Zaman,13797022-096e-490a-831c-1b09206cf6f5,Valosin-Containing Protein (VCP): A Review of Its Diverse Molecular Functions and Clinical Phenotypes,valosin-containing protein vcp a review of its diverse molecular functions and clinical phenotypes,,valosin containing protein | containing protein vcp,,,no,valosin-containing protein vcp a review of its diverse molecular functions and clinical phenotypes,Valosin-Containing Protein (VCP): A Review of Its Diverse Molecular Functions and Clinical Phenotypes,Valosin Containing Protein VCP A Review Of Its Diverse Molecular Functions And Clinical Phenotypes,0.9,0.9,Valosin Containing Protein VCP A Review Of Its Diverse Molecular Functions And Clinical Phenotypes
Mashiat Zaman,13797022-096e-490a-831c-1b09206cf6f5,"Characterization of a novel variant in the HR1 domain of MFN2 in a patient with ataxia, optic atrophy and sensorineural hearing loss",characterization of a novel variant in the hr1 domain of mfn2 in a patient with ataxia optic atrophy and sensorineural hearing loss,,,,,no,characterization of a novel variant in the hr1 domain of mfn2 in a patient with ataxia optic atrophy and sensorineural hearing loss,"Characterization of a novel variant in the HR1 domain of MFN2 in a patient with ataxia, optic atrophy and sensorineural hearing loss",Characterization Of A Novel Variant In The HR1 Domain Of MFN2 In A Patient With Ataxia Optic Atrophy And Sensorineural Hearing Loss,0.9,0.9,Characterization Of A Novel Variant In The HR1 Domain Of MFN2 In A Patient With Ataxia Optic Atrophy And Sensorineural Hearing Loss
Mashiat Zaman,13797022-096e-490a-831c-1b09206cf6f5,The Role of Impaired Mitochondrial Dynamics in MFN2-Mediated Pathology,the role of impaired mitochondrial dynamics in mfn2-mediated pathology,,,,,no,the role of impaired mitochondrial dynamics in mfn2-mediated pathology,The Role of Impaired Mitochondrial Dynamics in MFN2-Mediated Pathology,Role Of Impaired Mitochondrial Dynamics In MFN2 Mediated Pathology,0.9,0.9,Role Of Impaired Mitochondrial Dynamics In MFN2 Mediated Pathology
Mashiat Zaman,13797022-096e-490a-831c-1b09206cf6f5,A review looking at the function of MFN2 in regulating mito-ER contacts and pathological consequences of failure to do so,a review looking at the function of mfn2 in regulating mito-er contacts and pathological consequences of failure to do so,,,,,no,a review looking at the function of mfn2 in regulating mito-er contacts and pathological consequences of failure to do so,A review looking at the function of MFN2 in regulating mito-ER contacts and pathological consequences of failure to do so,Review Looking At The Function Of MFN2 In Regulating Mito ER Contacts And Pathological Consequences Of Failure To Do So,0.9,0.9,Review Looking At The Function Of MFN2 In Regulating Mito ER Contacts And Pathological Consequences Of Failure To Do So
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Project Oversight,project oversight,research project,,MTH,C0700032,yes,research project,Project Oversight,Project Oversight,1.0,0.62,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Leadership Development,leadership development,,,,,no,leadership development,Leadership Development,Leadership Development,1.0,1.0,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Medical Research,medical research,Medical Research activity,medical research,MTH,C0079816,yes,Medical Research activity,Medical Research activity,Medical Research Activity,1.0,1.12,Medical Research Activity
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Patient Education,patient education,Details of education,patient education,MTH,C0424927,yes,Details of education,Patient Education,Patient Education,1.0,0.62,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Clinical Trials,clinical trials,"Clinical Trials | Clinical Trials, Monitoring | Clinical Trials, Randomized",clinical trials,MTH | MSH,C0008976 | C1516647 | C0206034,yes,"Clinical Trials | Clinical Trials, Monitoring | Clinical Trials, Randomized",Clinical Trials,Clinical Trials,1.0,1.12,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Leadership,leadership,,leadership,,,no,leadership,Leadership,Leadership,1.0,1.0,Leadership
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Research,research,research | Research Design | Nursing Research,research,MTH | MSH,C0035168 | C0035171 | C0028695,yes,research | Research Design | Nursing Research,research,Research,1.0,1.12,Research
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,First Aid,first aid,First Aid | First Aid Pharmaceutical,first aid,MTH,C0016143 | C1951142,yes,First Aid | First Aid Pharmaceutical,First Aid,First Aid,1.0,1.12,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Swim Instruction,swim instruction,,,,,no,swim instruction,Swim Instruction,Swim Instruction,1.0,1.0,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Lifeguarding,lifeguarding,,lifeguarding,,,no,lifeguarding,Lifeguarding,Lifeguarding,1.0,1.0,Lifeguarding
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Effects of perioperative remote ischemic conditioning on postoperative delirium and cognitive outcomes: a systematic review and meta-analysis of randomized controlled trials,effects of perioperative remote ischemic conditioning on postoperative delirium and cognitive outcomes a systematic review and meta-analysis of randomized controlled trials,,,,,no,effects of perioperative remote ischemic conditioning on postoperative delirium and cognitive outcomes a systematic review and meta-analysis of randomized controlled trials,Effects of perioperative remote ischemic conditioning on postoperative delirium and cognitive outcomes: a systematic review and meta-analysis of randomized controlled trials,Effects Of Perioperative Remote Ischemic Conditioning On Postoperative Delirium And Cognitive Outcomes A Systematic Review And Meta Analysis Of Randomized Controlled Trials,0.9,0.9,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Brain Atrophy and White Matter Changes Grading Agreement on NCCT and MRI in Ischemic Stroke,brain atrophy and white matter changes grading agreement on ncct and mri in ischemic stroke,,,,,no,brain atrophy and white matter changes grading agreement on ncct and mri in ischemic stroke,Brain Atrophy and White Matter Changes Grading Agreement on NCCT and MRI in Ischemic Stroke,Brain Atrophy And White Matter Changes Grading Agreement On NCCT And MRI In Ischemic Stroke,0.9,0.9,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,"Cerebral Amyloid Angiopathy Imaging Markers, Radiological Boston Criteria, and Thrombolysis Outcomes in Ischemic Stroke",cerebral amyloid angiopathy imaging markers radiological boston criteria and thrombolysis outcomes in ischemic stroke,,cerebral amyloid angiopathy,,,no,cerebral amyloid angiopathy imaging markers radiological boston criteria and thrombolysis outcomes in ischemic stroke,"Cerebral Amyloid Angiopathy Imaging Markers, Radiological Boston Criteria, and Thrombolysis Outcomes in Ischemic Stroke",Cerebral Amyloid Angiopathy Imaging Markers Radiological Boston Criteria And Thrombolysis Outcomes In Ischemic Stroke,0.9,0.9,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Remote Ischemic Conditioning for the Acute Treatment of Ischemic and Hemorrhagic Stroke: A Systematic Review and Meta-Analysis,remote ischemic conditioning for the acute treatment of ischemic and hemorrhagic stroke a systematic review and meta-analysis,,,,,no,remote ischemic conditioning for the acute treatment of ischemic and hemorrhagic stroke a systematic review and meta-analysis,Remote Ischemic Conditioning for the Acute Treatment of Ischemic and Hemorrhagic Stroke: A Systematic Review and Meta-Analysis,Remote Ischemic Conditioning For The Acute Treatment Of Ischemic And Hemorrhagic Stroke A Systematic Review And Meta Analysis,0.9,0.9,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Association of Cerebral Amyloid Angiopathy Neuroimaging Markers and Boston Criteria with the Safety and Efficacy of Thrombolysis in Patients with Acute Ischemic Stroke: Results from the AcT Trial,association of cerebral amyloid angiopathy neuroimaging markers and boston criteria with the safety and efficacy of thrombolysis in patients with acute ischemic stroke results from the act trial,,association cerebral amyloid | cerebral amyloid angiopathy,,,no,association of cerebral amyloid angiopathy neuroimaging markers and boston criteria with the safety and efficacy of thrombolysis in patients with acute ischemic stroke results from the act trial,Association of Cerebral Amyloid Angiopathy Neuroimaging Markers and Boston Criteria with the Safety and Efficacy of Thrombolysis in Patients with Acute Ischemic Stroke: Results from the AcT Trial,Association Of Cerebral Amyloid Angiopathy Neuroimaging Markers And Boston Criteria With The Safety And Efficacy Of Thrombolysis In Patients With Acute Ischemic Stroke Results From The Act Trial,0.9,0.9,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Brain Frailty and Functional Outcomes After Thrombolysis for Acute Ischemic Stroke,brain frailty and functional outcomes after thrombolysis for acute ischemic stroke,,,,,no,brain frailty and functional outcomes after thrombolysis for acute ischemic stroke,Brain Frailty and Functional Outcomes After Thrombolysis for Acute Ischemic Stroke,Brain Frailty And Functional Outcomes After Thrombolysis For Acute Ischemic Stroke,0.9,0.9,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Evaluating the Usability of a Remote Ischemic Conditioning Device for Pre-Hospital Stroke Management: Insights from Paramedic Simulations,evaluating the usability of a remote ischemic conditioning device for pre-hospital stroke management insights from paramedic simulations,,,,,no,evaluating the usability of a remote ischemic conditioning device for pre-hospital stroke management insights from paramedic simulations,Evaluating the Usability of a Remote Ischemic Conditioning Device for Pre-Hospital Stroke Management: Insights from Paramedic Simulations,Evaluating The Usability Of A Remote Ischemic Conditioning Device For Pre Hospital Stroke Management Insights From Paramedic Simulations,0.9,0.9,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Usability Testing of a Novel Remote Ischemic Conditioning System for Pre-hospital Stroke Care,usability testing of a novel remote ischemic conditioning system for pre-hospital stroke care,,,,,no,usability testing of a novel remote ischemic conditioning system for pre-hospital stroke care,Usability Testing of a Novel Remote Ischemic Conditioning System for Pre-hospital Stroke Care,Usability Testing Of A Novel Remote Ischemic Conditioning System For Pre Hospital Stroke Care,0.9,0.9,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Comparing the Montreal Cognitive Assessment (MoCA) and Rowland Universal Dementia Assessment Scale (RUDAS) for the detection of dementia,comparing the montreal cognitive assessment moca and rowland universal dementia assessment scale rudas for the detection of dementia,,montreal cognitive assessment | cognitive assessment moca,,,no,comparing the montreal cognitive assessment moca and rowland universal dementia assessment scale rudas for the detection of dementia,Comparing the Montreal Cognitive Assessment (MoCA) and Rowland Universal Dementia Assessment Scale (RUDAS) for the detection of dementia,Comparing The Montreal Cognitive Assessment Moca And Rowland Universal Dementia Assessment Scale RUDAS For The Detection Of Dementia,0.9,0.9,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,Association of Montreal Cognitive Assessment (MoCA) and Rowland Universal Dementia Assessment Scale (RUDAS) Cognitive Testing Profiles with Cortical Atrophy and White Matter Disease,association of montreal cognitive assessment moca and rowland universal dementia assessment scale rudas cognitive testing profiles with cortical atrophy and white matter disease,,montreal cognitive assessment | cognitive assessment moca,,,no,association of montreal cognitive assessment moca and rowland universal dementia assessment scale rudas cognitive testing profiles with cortical atrophy and white matter disease,Association of Montreal Cognitive Assessment (MoCA) and Rowland Universal Dementia Assessment Scale (RUDAS) Cognitive Testing Profiles with Cortical Atrophy and White Matter Disease,Association Of Montreal Cognitive Assessment Moca And Rowland Universal Dementia Assessment Scale RUDAS Cognitive Testing Profiles With Cortical Atrophy And White Matter Disease,0.9,0.9,
Kaden L.,afede334-d3bd-4233-860a-c2ebeed96bef,"Entertaining residents (assisting in active games, entertaining, going on walks and outings, and having conversations). Interacting with dementia residents and ensuring they feel comfortable and secure",entertaining residents assisting in active games entertaining going on walks and outings and having conversations interacting with dementia residents and ensuring they feel comfortable and secure,,,,,no,entertaining residents assisting in active games entertaining going on walks and outings and having conversations interacting with dementia residents and ensuring they feel comfortable and secure,"Entertaining residents (assisting in active games, entertaining, going on walks and outings, and having conversations). Interacting with dementia residents and ensuring they feel comfortable and secure",Entertaining Residents Assisting In Active Games Entertaining Going On Walks And Outings And Having Conversations Interacting With Dementia Residents And Ensuring They Feel Comfortable And Secure,0.5,0.5,
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Creativity and Innovation,creativity and innovation,Creative therapy,,SNOMEDCT_US,C0457545,yes,Creative therapy,Creativity and Innovation,Creativity And Innovation,1.0,0.56,Creativity And Innovation
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Problem Solving,problem solving,Problem solving training,problem solving,SNOMEDCT_US,C0543432,yes,Problem solving training,Problem solving training,Problem Solving,1.0,1.06,
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Entrepreneurial Thinking,entrepreneurial thinking,Tangential thinking | Incoherent thinking,,MTH,C0558067 | C0233643,yes,Tangential thinking | Incoherent thinking,Entrepreneurial Thinking,Entrepreneurial Thinking,1.0,0.62,
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Research Design,research design,Research Design | Epidemiologic Research Design,research design,MTH | MSH,C0035171 | C0038500,yes,Research Design | Epidemiologic Research Design,Research Design,Research Design,1.0,1.12,
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Online Content Creation,online content creation,,content creation,,,no,online content creation,Online Content Creation,Online Content Creation,1.0,1.0,Online Content Creation
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Networking,networking,,networking,,,no,networking,Networking,Networking,1.0,1.0,Networking
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Canva,canva,,canva,,,no,canva,Canva,Canva,1.0,1.0,Canva
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Creative Writing,creative writing,Creative therapy | Unusually creative thinking | Difficulty writing,creative writing,SNOMEDCT_US,C0457545 | C0423977 | C0584995,yes,Creative therapy | Unusually creative thinking | Difficulty writing,Creative Writing,Creative Writing,1.0,0.56,
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Leadership,leadership,,leadership,,,no,leadership,Leadership,Leadership,1.0,1.0,Leadership
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Time Management,time management,Time management training,time management,SNOMEDCT_US,C0556514,yes,Time management training,Time management training,Time Management,1.0,1.06,
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,I am a first year psychology student at the University of Calgary,i am a first year psychology student at the university of calgary,,,,,no,i am a first year psychology student at the university of calgary,I am a first year psychology student at the University of Calgary,I Am A First Year Psychology Student At The University Of Calgary,0.8,0.8,I Am A First Year Psychology Student At The University Of Calgary
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,I could say a lot in this bio — but the description with the greatest potency in the least amount of words is this,i could say a lot in this bio but the description with the greatest potency in the least amount of words is this,,,,,no,i could say a lot in this bio but the description with the greatest potency in the least amount of words is this,I could say a lot in this bio — but the description with the greatest potency in the least amount of words is this,I Could Say A Lot In This Bio But The Description With The Greatest Potency In The Least Amount Of Words,0.8,0.8,I Could Say A Lot In This Bio But The Description With The Greatest Potency In The Least Amount Of Words
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,asking stupid questions has served me well,asking stupid questions has served me well,,,,,no,asking stupid questions has served me well,asking stupid questions has served me well,Asking Stupid Questions Has Served Me Well,0.8,0.8,Asking Stupid Questions Has Served Me Well
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,I love learning,i love learning,,love learning,,,no,i love learning,I love learning,I Love Learning,0.8,0.8,I Love Learning
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,whenever I can,whenever i can,,,,,no,whenever i can,whenever I can,Whenever I,0.8,0.8,
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,everything I do reflects that,everything i do reflects that,,everything i,,,no,everything i do reflects that,everything I do reflects that,Everything I Do Reflects,0.8,0.8,Everything I Do Reflects
Natalie Zabrowski,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Top skills Leadership • Academic Research,top skills leadership academic research,,,,,no,top skills leadership academic research,Top skills Leadership • Academic Research,Top Skills Leadership Academic Research,0.8,0.8,Top Skills Leadership Academic Research
David Girgis,15ad71bb-f4ee-402d-914a-2d6c0575e053,"Sleep tight, beat right: Does nucleus of the solitary tract circadian rhythmicity influence blood pressure and sleep regulation?",sleep tight beat right does nucleus of the solitary tract circadian rhythmicity influence blood pressure and sleep regulation,,,,,no,sleep tight beat right does nucleus of the solitary tract circadian rhythmicity influence blood pressure and sleep regulation,"Sleep tight, beat right: Does nucleus of the solitary tract circadian rhythmicity influence blood pressure and sleep regulation?",Sleep Tight Beat Right Does Nucleus Of The Solitary Tract Circadian Rhythmicity Influence Blood Pressure And Sleep Regulation,0.9,0.9,
David Girgis,15ad71bb-f4ee-402d-914a-2d6c0575e053,"Worked as a part of the team at the Arrieta Lab assisting in projects and coordinating tasks critical to day-to-day operations of the lab, such as preparing and assisting with experiments, calibrating and maintaining instruments, and preparing supplies for clinical studies. Also assisted in preparation for the Alberta BLOOM Study",worked as a part of the team at the arrieta lab assisting in projects and coordinating tasks critical to day-to-day operations of the lab such as preparing and assisting with experiments calibrating and maintaining instruments and preparing supplies for clinical studies also assisted in preparation for the alberta bloom study,,,,,no,worked as a part of the team at the arrieta lab assisting in projects and coordinating tasks critical to day-to-day operations of the lab such as preparing and assisting with experiments calibrating and maintaining instruments and preparing supplies for clinical studies also assisted in preparation for the alberta bloom study,"Worked as a part of the team at the Arrieta Lab assisting in projects and coordinating tasks critical to day-to-day operations of the lab, such as preparing and assisting with experiments, calibrating and maintaining instruments, and preparing supplies for clinical studies. Also assisted in preparation for the Alberta BLOOM Study",Worked As A Part Of The Team At The Arrieta Lab Assisting In Projects And Coordinating Tasks Critical To Day To Day Operations Of The Lab Such As Preparing And Assisting With Experiments Calibrating And Maintaining Instruments And Preparing Supplies For Clinical Studies Also Assisted In Preparation For The Alberta BLOOM Study,0.5,0.5,
Jennifer Dotchin,132edda5-7e0f-4faf-9db7-4dcf646f9565,Government Advocacy,government advocacy,,,,,no,government advocacy,Government Advocacy,Government Advocacy,1.0,1.0,
Jennifer Dotchin,132edda5-7e0f-4faf-9db7-4dcf646f9565,Policy Analysis,policy analysis,Analysis | Analysis of substances,policy analysis,MTH,C0936012 | C0002778,yes,Analysis | Analysis of substances,Policy Analysis,Policy Analysis,1.0,0.62,
Jennifer Dotchin,132edda5-7e0f-4faf-9db7-4dcf646f9565,Program Evaluation,program evaluation,Drug Evaluation,program evaluation,MTH,C0013175,yes,Drug Evaluation,Program Evaluation,Program Evaluation,1.0,0.62,
Jennifer Dotchin,132edda5-7e0f-4faf-9db7-4dcf646f9565,Program Development,program development,Phonological development program | Hanen program of language development,program development,SNOMEDCT_US,C0589188 | C0589160,yes,Phonological development program | Hanen program of language development,Phonological development program,Development Program,1.0,1.06,
Jennifer Dotchin,132edda5-7e0f-4faf-9db7-4dcf646f9565,Public Policy,public policy,,public policy,,,no,public policy,Public Policy,Public Policy,1.0,1.0,
Jennifer Dotchin,132edda5-7e0f-4faf-9db7-4dcf646f9565,Public Health,public health,,public health,,,no,public health,Public Health,Public Health,1.0,1.0,
Jennifer Dotchin,132edda5-7e0f-4faf-9db7-4dcf646f9565,Strategic Planning,strategic planning,,strategic planning,,,no,strategic planning,Strategic Planning,Strategic Planning,1.0,1.0,
Jennifer Dotchin,132edda5-7e0f-4faf-9db7-4dcf646f9565,Program Management,program management,Tuberculosis management program | Depression management program,program management,SNOMEDCT_US,C5818159 | C1303151,yes,Tuberculosis management program | Depression management program,Depression management program,Management Program,1.0,1.06,
Jennifer Dotchin,132edda5-7e0f-4faf-9db7-4dcf646f9565,Research,research,research | Research Design | Nursing Research,research,MTH | MSH,C0035168 | C0035171 | C0028695,yes,research | Research Design | Nursing Research,research,Research,1.0,1.12,Research
Jennifer Dotchin,132edda5-7e0f-4faf-9db7-4dcf646f9565,Grant Writing,grant writing,Grant syndrome | Death grant | Difficulty writing,,MSH | SNOMEDCT_US,C1841835 | C0425020 | C0584995,yes,Grant syndrome | Death grant | Difficulty writing,Grant Writing,Grant Writing,1.0,0.59,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Researcher in biomedical engineering with high quality publications and a strong background in knowledge translation,researcher in biomedical engineering with high quality publications and a strong background in knowledge translation,,,,,no,researcher in biomedical engineering with high quality publications and a strong background in knowledge translation,Researcher in biomedical engineering with high quality publications and a strong background in knowledge translation,Researcher In Biomedical Engineering With High Quality Publications And A Strong Background In Knowledge Translation,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Expert in advanced micro/nano manufacturing technologies for biomedical micro-systems,expert in advanced micro nano manufacturing technologies for biomedical micro-systems,,,,,no,expert in advanced micro nano manufacturing technologies for biomedical micro-systems,Expert in advanced micro/nano manufacturing technologies for biomedical micro-systems,Expert In Advanced Micro Nano Manufacturing Technologies For Biomedical Micro Systems,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,with a range of teaching and supervisory experience,with a range of teaching and supervisory experience,,range teaching,,,no,with a range of teaching and supervisory experience,with a range of teaching and supervisory experience,Range Of Teaching And Supervisory Experience,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Over 10 years of collaborative interdisciplinary research advancing healthcare solutions,over 10 years of collaborative interdisciplinary research advancing healthcare solutions,,over 10 years,,,no,over 10 years of collaborative interdisciplinary research advancing healthcare solutions,Over 10 years of collaborative interdisciplinary research advancing healthcare solutions,Over 10 Years Of Collaborative Interdisciplinary Research Advancing Healthcare Solutions,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Excellent communication and leadership skills in cross-faculty team environments,excellent communication and leadership skills in cross-faculty team environments,,,,,no,excellent communication and leadership skills in cross-faculty team environments,Excellent communication and leadership skills in cross-faculty team environments,Excellent Communication And Leadership Skills In Cross Faculty Team Environments,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Director of the cleanroom facility at the University of Calgary,director of the cleanroom facility at the university of calgary,,,,,no,director of the cleanroom facility at the university of calgary,Director of the cleanroom facility at the University of Calgary,Director Of The Cleanroom Facility At The University Of Calgary,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,providing services to five faculties and local businesses,providing services to five faculties and local businesses,,,,,no,providing services to five faculties and local businesses,providing services to five faculties and local businesses,Providing Services To Five Faculties And Local Businesses,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Specialties,specialties,,specialties,,,no,specialties,Specialties,Specialties,0.8,0.8,Specialties
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,microfluidics,microfluidics,,microfluidics,,,no,microfluidics,microfluidics,Microfluidics,0.8,0.8,Microfluidics
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,electrokinetics,electrokinetics,,electrokinetics,,,no,electrokinetics,electrokinetics,Electrokinetics,0.8,0.8,Electrokinetics
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Lab on a chip,lab on a chip,,,,,no,lab on a chip,,,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,micro/nanosystems fabrication and integration,micro nanosystems fabrication and integration,,,,,no,micro nanosystems fabrication and integration,micro/nanosystems fabrication and integration,Micro Nanosystems Fabrication And Integration,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,MEMS,mems,,mems,,,no,mems,MEMS,MEMS,0.8,0.8,MEMS
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,bioMEMS,biomems,,biomems,,,no,biomems,bioMEMS,Biomems,0.8,0.8,Biomems
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,hybrid biomedical micro-devices,hybrid biomedical micro-devices,,,,,no,hybrid biomedical micro-devices,hybrid biomedical micro-devices,Hybrid Biomedical Micro Devices,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,microneedles,microneedles,,microneedles,,,no,microneedles,microneedles,Microneedles,0.8,0.8,Microneedles
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,micro-arrays,micro-arrays,Warburg micro syndrome | Micro-Guard | NeoBenz Micro,,MTH | RXNORM,C5442005 | C1170401 | C1700615,yes,Warburg micro syndrome | Micro-Guard | NeoBenz Micro,micro-arrays,Micro Arrays,0.8,0.62,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,brain machine interfaces,brain machine interfaces,,brain machine interfaces | brain machine | machine interfaces,,,no,brain machine interfaces,brain machine interfaces,Brain Machine Interfaces,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,neural interfaces,neural interfaces,,neural interfaces,,,no,neural interfaces,neural interfaces,Neural Interfaces,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,nerve regeneration,nerve regeneration,Nerve Regeneration | Aberrant regeneration of nerve,nerve regeneration,MTH | SNOMEDCT_US,C0027756 | C0334164,yes,Nerve Regeneration | Aberrant regeneration of nerve,Nerve Regeneration,Nerve Regeneration,0.8,1.12,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,product development,product development,Blood product,product development,MTH,C0456388,yes,Blood product,product development,Product Development,0.8,0.62,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,mass production implementation,mass production implementation,,,,,no,mass production implementation,mass production implementation,Mass Production Implementation,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,technology commercialization,technology commercialization,,technology commercialization,,,no,technology commercialization,technology commercialization,Technology Commercialization,0.8,0.8,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Accelerating Neurite Outgrowth Through Electric Field Manipulation,accelerating neurite outgrowth through electric field manipulation,,,,,no,accelerating neurite outgrowth through electric field manipulation,Accelerating Neurite Outgrowth Through Electric Field Manipulation,Accelerating Neurite Outgrowth Through Electric Field Manipulation,0.9,0.9,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Using electrical cues to induce regeneration: neuronal growth guidance using a novel MEA,using electrical cues to induce regeneration neuronal growth guidance using a novel mea,,,,,no,using electrical cues to induce regeneration neuronal growth guidance using a novel mea,Using electrical cues to induce regeneration: neuronal growth guidance using a novel MEA,Using Electrical Cues To Induce Regeneration Neuronal Growth Guidance Using A Novel MEA,0.9,0.9,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Improving Neuron Stimulation Efficiency by Altering Electrode Geometry,improving neuron stimulation efficiency by altering electrode geometry,,,,,no,improving neuron stimulation efficiency by altering electrode geometry,Improving Neuron Stimulation Efficiency by Altering Electrode Geometry,Improving Neuron Stimulation Efficiency By Altering Electrode Geometry,0.9,0.9,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Stimulation of neurons using new microelectrode array design,stimulation of neurons using new microelectrode array design,,,,,no,stimulation of neurons using new microelectrode array design,Stimulation of neurons using new microelectrode array design,Stimulation Of Neurons Using New Microelectrode Array Design,0.9,0.9,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Find my Publications on Google Scholar,find my publications on google scholar,,find my publications,,,no,find my publications on google scholar,Find my Publications on Google Scholar,Find My Publications On Google Scholar,0.9,0.9,
Colin Dalton,f54adf97-7d5c-49c7-b1ac-dd3d5d9effa7,Find my publications on Research Gate,find my publications on research gate,,find my publications,,,no,find my publications on research gate,Find my publications on Research Gate,Find My Publications On Research Gate,0.9,0.9,
